client_id,client_name,client_type,city,sector,signup_date,email,phone
C001,Servicios Alameda,Autonomo,Valencia,Construccion,2025-10-17,info@serviciosalameda.es,683197857
C002,Servicios Prisma,Autonomo,Sevilla,Comercio,2024-10-31,info@serviciosprisma.es,690801586
C003,Grupo Vertex Asesores,Autonomo,Murcia,Salud,2022-01-14,info@grupovertexasesores.es,631429110
C004,Talleres Futura S.L.,SL,Málaga,Construccion,2022-07-09,info@talleresfuturasl.es,660992979
C005,Servicios Mistral,PYME,Madrid,Marketing,2025-01-03,info@serviciosmistral.es,626753883
C006,Talleres Levante,SL,Murcia,Educacion,2025-03-28,,635808537
C007,Servicios Norte,SL,Barcelona,Comercio,2022-07-26,info@serviciosnorte.es,661019678
C008,Innovacion Nexus,PYME,Málaga,Educacion,2023-03-06,info@innovacionnexus.es,699949389
C009,Innovacion Levante,Autonomo,Sevilla,Tecnologia,2024-08-04,info@innovacionlevante.es,660929647
C010,Innovacion Vertex Consultores,SL,Madrid,Comercio,2022-03-07,info@innovacionvertexconsultores.es,652339391
C011,Talleres Atlas Consultores,Autonomo,Valladolid,Logistica,2025-08-09,info@talleresatlasconsultores.es,671586053
C012,Consulting Atlas Consultores,SL,Zaragoza,Logistica,2024-01-12,info@consultingatlasconsultores.es,639436733
C013,Consulting Riviera,SL,Barcelona,Tecnologia,2025-07-09,info@consultingriviera.es,
C014,Talleres Ágora Asesores,PYME,Valladolid,Legal,2023-05-30,info@talleresagoraasesores.es,684252722
C015,Grupo Iberica,PYME,Bilbao,Educacion,2022-08-17,info@grupoiberica.es,649392920
C016,Talleres Costa,SL,Bilbao,Legal,2023-01-01,info@tallerescosta.es,678139880
C017,Servicios Zenit,PYME,Sevilla,Tecnologia,2024-02-05,info@servicioszenit.es,631682744
C018,Estudio Riviera,PYME,Valladolid,Hosteleria,2022-08-18,info@estudioriviera.es,658718453
C019,Innovacion Orion SL,Autonomo,Valladolid,Construccion,2024-12-26,info@innovacionorionsl.es,626879290
C020,Consulting Aurora,Autonomo,A Coruña,Logistica,2023-03-10,info@consultingaurora.es,682383095
C021,Soluciones Zenit,PYME,Málaga,Marketing,2024-11-25,info@solucioneszenit.es,670597444
C022,Servicios Orion Consultores,Autonomo,A Coruña,Comercio,2025-04-20,info@serviciosorionconsultores.es,639557077
C023,Grupo Levante,Autonomo,Barcelona,,2023-11-08,info@grupolevante.es,619510312
C024,Estudio Orion Asesores,Autonomo,Valencia,Marketing,2023-05-13,info@estudioorionasesores.es,673481353
C025,Talleres Delta Asesores,PYME,Zaragoza,Marketing,2022-04-21,info@talleresdeltaasesores.es,697705310
C026,Servicios Norte,Autonomo,Barcelona,Comercio,2023-01-28,info@serviciosnorte.es,635529407
C027,Estudio Nexus S.L.,Autonomo,Sevilla,Construccion,2024-06-26,info@estudionexussl.es,683863413
C028,Servicios Norte,PYME,Madrid,Construccion,2023-04-30,info@serviciosnorte.es,632321899
